customer_id,campaign_id,campaign_name,start_date,end_date,primary_segment,customer_tier,customer_segment,treatment_grp,cnvrsn_flg,campaign_revenue,offer_cost,contact_cost,total_campaign_cost
80,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
81,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
82,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
83,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
84,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
85,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
86,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
87,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
88,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
89,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
90,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
91,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
92,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
93,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
94,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
95,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
96,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
97,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
98,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
99,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
100,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
101,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,10.86,0.5,0.1,0.6
102,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
103,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
104,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
105,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
106,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
107,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
108,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,Y,8.44,0.0,0.0,0.0
109,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
110,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Reactivation,Low Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
111,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
112,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
113,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
114,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
115,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
116,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
117,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
118,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
119,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
120,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
121,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
122,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
123,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
124,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
125,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
126,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,7.34,0.5,0.1,0.6
127,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
128,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
129,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
130,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
131,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
132,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
133,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
134,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
135,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,6.72,0.5,0.1,0.6
136,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
137,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
138,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
139,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,12.63,0.5,0.1,0.6
140,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
141,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
142,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,2.88,0.5,0.1,0.6
143,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
144,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
145,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
146,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,8.74,0.5,0.1,0.6
147,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
148,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
149,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
150,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
151,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,9.09,0.5,0.1,0.6
152,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
153,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,3.95,0.5,0.1,0.6
154,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
155,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
156,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
157,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
158,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
159,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,Y,5.6,0.5,0.1,0.6
160,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
161,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
162,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
163,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
164,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
165,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
166,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
167,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
168,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
169,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
170,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
171,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
172,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
173,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
174,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
175,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,Y,8.24,0.0,0.0,0.0
176,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,4.1,0.5,0.1,0.6
177,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
178,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
179,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
180,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
181,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
182,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
183,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
184,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
185,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
186,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
187,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
188,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
189,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
190,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
191,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
