campaign_id,campaign_name,customer_segment,customer_tier,primary_segment,treatment_grp,engagement_segment,category_engagement_tier,start_date,end_date,cmpgn_rvn,total_cost,audience,conversions,rvn_per_customer,rvn_per_converter
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,Moderate,Medium Engagement,2025-08-01,2025-08-31,202.89,29.3,133,32,1.53,6.34
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,Very High,High Engagement,2025-08-01,2025-08-31,301.49,53.3,248,57,1.22,5.29
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,169.39,31.4,154,32,1.1,5.29
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,158.76,30.6,141,33,1.13,4.81
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,CONTROL,High,Low Engagement,2025-08-01,2025-08-31,0.0,0.0,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,CONTROL,Moderate,Medium Engagement,2025-08-01,2025-08-31,0.0,0.0,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,17.23,0.0,16,2,1.08,8.62
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,0.0,0.0,4,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,0.0,0.0,3,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,TEST,High,High Engagement,2025-08-01,2025-08-31,0.0,0.4,4,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,TEST,High,Low Engagement,2025-08-01,2025-08-31,11.55,1.1,6,1,1.93,11.55
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,TEST,High,Medium Engagement,2025-08-01,2025-08-31,11.85,0.8,3,1,3.95,11.85
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,TEST,Moderate,High Engagement,2025-08-01,2025-08-31,4.27,0.6,1,1,4.27,4.27
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,TEST,Very High,High Engagement,2025-08-01,2025-08-31,61.17,11.6,61,11,1.0,5.56
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,7.07,3.7,27,2,0.26,3.54
CMP-2025-002,Summer Retention Offer,Churn Watchlist,High Value,Churn Watchlist,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,41.47,6.9,29,8,1.43,5.18
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,High,High Engagement,2025-08-01,2025-08-31,0.0,0.0,19,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,High,Low Engagement,2025-08-01,2025-08-31,8.4,0.0,7,2,1.2,4.2
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,High,Medium Engagement,2025-08-01,2025-08-31,2.77,0.0,7,1,0.4,2.77
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,Moderate,High Engagement,2025-08-01,2025-08-31,14.61,0.0,37,3,0.39,4.87
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,Moderate,Low Engagement,2025-08-01,2025-08-31,12.11,0.0,16,3,0.76,4.04
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,Moderate,Medium Engagement,2025-08-01,2025-08-31,11.39,0.0,21,3,0.54,3.8
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,2.3,0.0,4,1,0.58,2.3
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,0.0,0.0,2,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,0.0,0.0,3,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,High,High Engagement,2025-08-01,2025-08-31,35.28,9.8,53,9,0.67,3.92
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,High,Low Engagement,2025-08-01,2025-08-31,34.26,5.8,28,6,1.22,5.71
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,High,Medium Engagement,2025-08-01,2025-08-31,30.07,6.7,37,6,0.81,5.01
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,Moderate,High Engagement,2025-08-01,2025-08-31,133.43,30.1,146,31,0.91,4.3
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,Moderate,Low Engagement,2025-08-01,2025-08-31,70.98,14.5,85,12,0.84,5.92
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,Moderate,Medium Engagement,2025-08-01,2025-08-31,76.98,14.1,71,14,1.08,5.5
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,Very High,High Engagement,2025-08-01,2025-08-31,10.26,1.3,8,1,1.28,10.26
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,8.97,1.0,5,1,1.79,8.97
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Low Value,Churn Watchlist,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,9.2,1.4,4,2,2.3,4.6
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,High,High Engagement,2025-08-01,2025-08-31,19.39,0.0,51,4,0.38,4.85
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,High,Low Engagement,2025-08-01,2025-08-31,6.14,0.0,30,2,0.2,3.07
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,High,Medium Engagement,2025-08-01,2025-08-31,8.9,0.0,29,3,0.31,2.97
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,Moderate,High Engagement,2025-08-01,2025-08-31,17.98,0.0,31,3,0.58,5.99
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,Moderate,Low Engagement,2025-08-01,2025-08-31,14.01,0.0,22,2,0.64,7.01
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,Moderate,Medium Engagement,2025-08-01,2025-08-31,19.34,0.0,16,2,1.21,9.67
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,16.52,0.0,27,3,0.61,5.51
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,22.76,0.0,19,4,1.2,5.69
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,17.76,0.0,20,3,0.89,5.92
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,High,High Engagement,2025-08-01,2025-08-31,230.82,40.8,203,41,1.14,5.63
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,High,Low Engagement,2025-08-01,2025-08-31,150.41,24.1,116,25,1.3,6.02
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,High,Medium Engagement,2025-08-01,2025-08-31,65.97,17.9,114,13,0.58,5.07
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,Moderate,High Engagement,2025-08-01,2025-08-31,113.86,24.8,143,21,0.8,5.42
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,Moderate,Low Engagement,2025-08-01,2025-08-31,49.48,12.5,80,9,0.62,5.5
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,Moderate,Medium Engagement,2025-08-01,2025-08-31,81.48,14.8,83,13,0.98,6.27
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,Very High,High Engagement,2025-08-01,2025-08-31,89.68,18.7,102,17,0.88,5.28
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,35.99,8.9,54,7,0.67,5.14
CMP-2025-002,Summer Retention Offer,Churn Watchlist,Medium Value,Churn Watchlist,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,66.39,15.6,81,15,0.82,4.43
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,CONTROL,Low,High Engagement,2025-08-01,2025-08-31,78.28,0.0,114,18,0.69,4.35
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,CONTROL,Low,Low Engagement,2025-08-01,2025-08-31,42.57,0.0,68,8,0.63,5.32
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,CONTROL,Low,Medium Engagement,2025-08-01,2025-08-31,55.65,0.0,87,12,0.64,4.64
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,CONTROL,Very Low,High Engagement,2025-08-01,2025-08-31,150.01,0.0,141,27,1.06,5.56
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,CONTROL,Very Low,Low Engagement,2025-08-01,2025-08-31,47.19,0.0,109,12,0.43,3.93
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,CONTROL,Very Low,Medium Engagement,2025-08-01,2025-08-31,44.09,0.0,73,10,0.6,4.41
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,TEST,Low,High Engagement,2025-08-01,2025-08-31,516.42,110.6,546,112,0.95,4.61
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,TEST,Low,Low Engagement,2025-08-01,2025-08-31,379.42,74.1,331,82,1.15,4.63
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,TEST,Low,Medium Engagement,2025-08-01,2025-08-31,297.65,59.0,285,61,1.04,4.88
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,TEST,Very Low,High Engagement,2025-08-01,2025-08-31,580.14,113.0,580,110,1.0,5.27
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,TEST,Very Low,Low Engagement,2025-08-01,2025-08-31,298.2,67.8,358,64,0.83,4.66
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Engagement Growth,TEST,Very Low,Medium Engagement,2025-08-01,2025-08-31,392.97,72.7,357,74,1.1,5.31
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,High,High Engagement,2025-08-01,2025-08-31,13.59,0.0,28,3,0.49,4.53
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,High,Low Engagement,2025-08-01,2025-08-31,2.66,0.0,9,1,0.3,2.66
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,High,Medium Engagement,2025-08-01,2025-08-31,17.68,0.0,19,3,0.93,5.89
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,Moderate,High Engagement,2025-08-01,2025-08-31,17.26,0.0,55,3,0.31,5.75
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,Moderate,Low Engagement,2025-08-01,2025-08-31,30.26,0.0,31,6,0.98,5.04
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,Moderate,Medium Engagement,2025-08-01,2025-08-31,18.11,0.0,33,4,0.55,4.53
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,0.0,0.0,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,0.0,0.0,3,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,9.19,0.0,2,2,4.6,4.6
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,High,High Engagement,2025-08-01,2025-08-31,101.16,18.5,95,18,1.06,5.62
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,High,Low Engagement,2025-08-01,2025-08-31,37.6,11.1,66,9,0.57,4.18
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,High,Medium Engagement,2025-08-01,2025-08-31,33.24,10.3,58,9,0.57,3.69
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,Moderate,High Engagement,2025-08-01,2025-08-31,164.92,39.5,210,37,0.79,4.46
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,Moderate,Low Engagement,2025-08-01,2025-08-31,124.17,23.1,116,23,1.07,5.4
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,Moderate,Medium Engagement,2025-08-01,2025-08-31,101.93,20.1,111,18,0.92,5.66
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,Very High,High Engagement,2025-08-01,2025-08-31,18.96,3.3,18,3,1.05,6.32
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,9.75,1.8,8,2,1.22,4.88
CMP-2025-002,Summer Retention Offer,Growth,Low Value,Upsell - Core,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,0.0,0.6,6,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,CONTROL,Low,High Engagement,2025-08-01,2025-08-31,24.72,0.0,37,4,0.67,6.18
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,CONTROL,Low,Low Engagement,2025-08-01,2025-08-31,21.51,0.0,21,3,1.02,7.17
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,CONTROL,Low,Medium Engagement,2025-08-01,2025-08-31,10.96,0.0,30,3,0.37,3.65
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,CONTROL,Very Low,High Engagement,2025-08-01,2025-08-31,8.48,0.0,5,1,1.7,8.48
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,CONTROL,Very Low,Low Engagement,2025-08-01,2025-08-31,0.0,0.0,2,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,CONTROL,Very Low,Medium Engagement,2025-08-01,2025-08-31,0.0,0.0,2,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,TEST,Low,High Engagement,2025-08-01,2025-08-31,139.01,24.1,116,25,1.2,5.56
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,TEST,Low,Low Engagement,2025-08-01,2025-08-31,111.57,19.9,104,19,1.07,5.87
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,TEST,Low,Medium Engagement,2025-08-01,2025-08-31,100.16,17.4,94,16,1.07,6.26
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,TEST,Very Low,High Engagement,2025-08-01,2025-08-31,12.31,2.0,10,2,1.23,6.16
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,TEST,Very Low,Low Engagement,2025-08-01,2025-08-31,9.1,1.6,6,2,1.52,4.55
CMP-2025-002,Summer Retention Offer,Growth,Medium Value,Engagement Growth,TEST,Very Low,Medium Engagement,2025-08-01,2025-08-31,10.32,0.8,3,1,3.44,10.32
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Champion,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,17.71,0.0,28,3,0.63,5.9
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Champion,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,14.22,0.0,8,2,1.78,7.11
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Champion,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,16.14,0.0,17,2,0.95,8.07
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Champion,TEST,High,High Engagement,2025-08-01,2025-08-31,0.0,0.4,4,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Champion,TEST,High,Low Engagement,2025-08-01,2025-08-31,0.0,0.1,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Champion,TEST,Very High,High Engagement,2025-08-01,2025-08-31,76.97,16.0,105,11,0.73,7.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Champion,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,26.93,7.0,50,4,0.54,6.73
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Champion,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,10.68,7.4,59,3,0.18,3.56
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Churn Watchlist,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,0.0,0.0,18,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Churn Watchlist,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,13.14,0.0,7,2,1.88,6.57
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Churn Watchlist,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,11.27,0.0,14,3,0.81,3.76
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Churn Watchlist,TEST,High,Low Engagement,2025-08-01,2025-08-31,0.0,0.1,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Churn Watchlist,TEST,Very High,High Engagement,2025-08-01,2025-08-31,53.28,12.6,86,8,0.62,6.66
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Churn Watchlist,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,16.18,4.2,27,3,0.6,5.39
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Churn Watchlist,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,25.98,6.1,41,4,0.63,6.5
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Win-Back VIP,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,0.0,0.0,5,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Win-Back VIP,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,0.0,0.0,8,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Win-Back VIP,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,0.0,0.0,4,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Win-Back VIP,TEST,High,Low Engagement,2025-08-01,2025-08-31,0.0,0.2,2,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Win-Back VIP,TEST,High,Medium Engagement,2025-08-01,2025-08-31,0.0,0.1,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Win-Back VIP,TEST,Very High,High Engagement,2025-08-01,2025-08-31,32.61,4.5,25,4,1.3,8.15
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Win-Back VIP,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,3.91,1.8,13,1,0.3,3.91
CMP-2025-002,Summer Retention Offer,Win-Back,High Value,Win-Back VIP,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,3.95,2.1,16,1,0.25,3.95
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,High,High Engagement,2025-08-01,2025-08-31,2.71,0.0,4,1,0.68,2.71
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,High,Low Engagement,2025-08-01,2025-08-31,0.0,0.0,3,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,High,Medium Engagement,2025-08-01,2025-08-31,0.0,0.0,2,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Low,High Engagement,2025-08-01,2025-08-31,15.2,0.0,24,3,0.63,5.07
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Low,Low Engagement,2025-08-01,2025-08-31,2.56,0.0,12,1,0.21,2.56
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Low,Medium Engagement,2025-08-01,2025-08-31,2.63,0.0,16,1,0.16,2.63
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Moderate,High Engagement,2025-08-01,2025-08-31,5.98,0.0,10,1,0.6,5.98
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Moderate,Low Engagement,2025-08-01,2025-08-31,0.0,0.0,4,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Moderate,Medium Engagement,2025-08-01,2025-08-31,0.0,0.0,3,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,0.0,0.0,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Very Low,High Engagement,2025-08-01,2025-08-31,18.79,0.0,33,4,0.57,4.7
CMP-2025-002,Summer Retention Offer,Win-Back,Low Value,Win-Back Reactivation,CONTROL,Very Low,Low Engagement,2025-08-01,2025-08-31,14.54,0.0,28,2,0.52,7.27
